Longitude,Latitude,EC1,EC2,Elevation
-120.039849,34.691607,32.1,46.6,328.845
-120.03985,34.691622,27.4,41.2,328.915
-120.03985,34.691635,29.6,46.1,328.975
-120.039852,34.691648,33.3,41.3,329.0
-120.039853,34.69166,45.8,33.2,329.035
-120.039853,34.691671,50.1,37.6,329.055
-120.039853,34.691682,39.3,33.3,329.05
-120.039747,34.691697,30.1,29.9,329.0
-120.039741,34.691686,21.2,21.7,328.86
-120.039738,34.691673,18.5,19.8,328.83
-120.039739,34.691658,16.4,20.4,328.83
-120.03974,34.691642,20.1,25.0,328.845
-120.039741,34.691626,17.3,36.3,328.875
-120.039741,34.69161,18.9,34.1,328.925
-120.039741,34.691594,18.9,38.9,328.935
-120.03974,34.691578,17.5,39.5,328.91
-120.03974,34.691561,17.8,38.3,328.905
-120.039739,34.691544,22.1,37.4,328.93
-120.039739,34.691527,17.6,33.3,328.955
-120.039738,34.691511,19.9,32.7,328.935
-120.039738,34.691494,17.9,28.6,328.855
-120.039737,34.691478,19.9,29.6,328.765
-120.039736,34.691461,20.6,37.1,328.695
-120.039735,34.691445,17.2,44.8,328.62
-120.039736,34.691428,19.6,27.6,328.555
-120.039737,34.691411,20.0,24.2,328.51
-120.03974,34.691395,20.1,28.9,328.47
-120.039742,34.691378,19.2,26.3,328.42
-120.039743,34.691361,18.3,27.4,328.36
-120.039741,34.691344,17.4,22.8,328.295
-120.03974,34.691327,15.1,21.9,328.23
-120.039739,34.691311,18.1,25.0,328.195
-120.039739,34.691294,19.0,29.1,328.185
-120.039738,34.691278,20.0,31.8,328.19
-120.039737,34.691262,19.9,38.4,328.21
-120.039737,34.691246,20.3,37.2,328.22
-120.039737,34.69123,18.0,28.9,328.21
-120.039738,34.691214,22.2,40.4,328.205
-120.039737,34.691198,23.4,37.1,328.225
-120.039735,34.691181,22.9,50.3,328.27
-120.039733,34.691165,20.0,26.7,328.325
-120.039732,34.691148,20.1,28.2,328.345
-120.039732,34.691132,18.4,32.7,328.31
-120.039731,34.691115,19.6,26.5,328.26
-120.039731,34.691099,24.7,30.9,328.245
-120.03973,34.691082,21.6,28.7,328.245
-120.039729,34.691066,17.7,26.8,328.23
-120.039729,34.691049,14.8,26.5,328.22
-120.039728,34.691032,17.5,25.6,328.225
-120.039727,34.691014,16.0,27.0,328.21
-120.039725,34.690997,14.0,24.3,328.14
-120.039723,34.69098,12.3,24.1,328.065
-120.039722,34.690964,13.2,28.4,328.0
-120.039721,34.690948,16.6,30.2,327.91
-120.03972,34.690931,18.2,29.9,327.825
-120.03972,34.690914,18.0,33.3,327.74
-120.039718,34.690897,16.7,25.6,327.625
-120.039715,34.690881,17.7,29.8,327.53
-120.039714,34.690864,16.8,27.3,327.49
-120.039713,34.690848,15.8,25.9,327.465
-120.039712,34.690831,16.8,28.8,327.465
-120.039713,34.690815,15.4,32.0,327.515
-120.039713,34.690799,16.0,27.4,327.545
-120.039714,34.690783,16.9,23.7,327.525
-120.039715,34.690767,18.3,30.4,327.51
-120.039715,34.690751,20.1,31.0,327.51
-120.039715,34.690734,17.6,40.6,327.51
-120.039714,34.690718,16.1,47.5,327.5
-120.039714,34.690702,17.5,27.6,327.485
-120.039714,34.690687,19.5,36.8,327.48
-120.039715,34.690672,18.8,37.5,327.44
-120.039753,34.69064,38.7,28.6,327.765
-120.039751,34.690651,20.7,26.8,327.655
-120.039751,34.690664,23.1,23.3,327.61
-120.039751,34.690677,23.7,31.9,327.655
-120.039751,34.690691,23.8,44.3,327.72
-120.03975,34.690706,37.8,40.3,327.78
-120.03975,34.69072,35.4,34.1,327.8
-120.039752,34.690736,33.6,32.7,327.775
-120.039755,34.690751,30.8,38.3,327.78
-120.039757,34.690766,31.0,38.5,327.825
-120.039758,34.690781,28.2,37.3,327.875
-120.03976,34.690796,33.9,30.9,327.93
-120.03976,34.690811,29.7,31.2,327.975
-120.039761,34.690826,26.4,31.4,327.99
-120.039761,34.690842,34.0,28.5,327.995
-120.039761,34.690858,37.4,32.9,328.04
-120.039761,34.690873,34.3,37.0,328.13
-120.039762,34.690889,31.8,35.5,328.17
-120.039763,34.690904,46.6,34.3,328.15
-120.039764,34.69092,38.6,43.4,328.18
-120.039764,34.690935,24.7,32.8,328.23
-120.039765,34.690951,22.0,39.9,328.22
-120.039765,34.690966,30.8,41.8,328.195
-120.039766,34.690981,28.9,36.2,328.215
-120.039766,34.690996,29.5,33.1,328.295
-120.039768,34.691011,27.1,28.7,328.37
-120.03977,34.691026,33.6,34.2,328.375
-120.039771,34.69104,50.8,37.1,328.35
-120.039771,34.691053,32.4,41.4,328.33
-120.039773,34.691067,42.8,40.1,328.295
-120.039774,34.691081,53.9,42.3,328.26
-120.039774,34.691096,55.0,46.0,328.295
-120.039775,34.691112,53.4,52.3,328.365
-120.039776,34.691128,41.9,49.0,328.4
-120.039776,34.691144,55.6,43.8,328.435
-120.039775,34.69116,60.5,41.3,328.47
-120.039775,34.691176,50.1,34.1,328.49
-120.039774,34.691192,40.9,32.9,328.53
-120.039774,34.691208,41.5,35.9,328.58
-120.039774,34.691223,39.7,32.9,328.61
-120.039774,34.691239,41.8,35.9,328.625
-120.039775,34.691255,45.9,38.3,328.64
-120.039776,34.691271,49.5,39.7,328.7
-120.039778,34.691286,45.1,40.0,328.795
-120.039779,34.691301,33.9,36.7,328.895
-120.039779,34.691317,34.4,39.8,328.97
-120.039777,34.691333,32.7,37.0,329.0
-120.039777,34.691348,32.4,38.6,329.0
-120.039778,34.691363,40.9,42.7,328.98
-120.039778,34.691378,41.4,38.3,328.975
-120.039778,34.691393,41.1,41.0,328.985
-120.039778,34.691408,39.5,40.1,328.985
-120.039777,34.691423,36.8,36.2,328.995
-120.039776,34.691439,34.6,35.3,329.015
-120.039775,34.691454,43.6,38.2,329.035
-120.039775,34.69147,30.9,41.6,329.09
-120.039776,34.691485,31.1,39.5,329.15
