Longitude,Latitude,EC1,EC2,Elevation
-120.670361,35.297834,56.9,33.9,82.265
-120.670352,35.297845,41.7,34.5,82.31
-120.670342,35.297858,51.2,38.1,82.335
-120.670333,35.29787,47.5,34.6,82.355
-120.670324,35.297883,35.9,31.7,82.365
-120.670314,35.297896,41.8,35.3,82.39
-120.670303,35.297908,47.8,41.1,82.435
-120.670294,35.297921,49.1,43.1,82.505
-120.670285,35.297933,49.7,47.8,82.61
-120.670277,35.297945,50.8,57.4,82.78
-120.670267,35.297957,55.5,61.9,82.955
-120.670258,35.297969,58.4,63.2,83.04
-120.670248,35.297981,67.7,65.4,83.06
-120.670239,35.297994,77.5,76.9,83.03
-120.67023,35.298007,74.4,66.7,83.0
-120.670222,35.29802,68.0,62.0,82.965
-120.670214,35.298033,65.1,57.1,82.94
-120.670204,35.298046,69.9,70.7,82.96
-120.670194,35.298058,68.6,75.6,83.0
-120.670183,35.298071,67.0,74.2,83.045
-120.670173,35.298084,67.8,68.9,83.05
-120.670161,35.298097,65.3,62.9,83.025
-120.67015,35.29811,61.4,44.2,82.995
-120.67014,35.298124,50.6,25.0,82.98
-120.670131,35.298138,60.6,36.8,82.96
-120.67012,35.298152,65.3,53.0,82.95
-120.670109,35.298165,69.7,44.4,83.0
-120.670098,35.298179,67.3,48.8,83.02
-120.670087,35.298192,64.6,56.0,82.985
-120.670075,35.298206,68.7,50.7,83.045
-120.670062,35.298218,64.1,50.1,83.155
-120.670051,35.298232,67.6,49.7,83.24
-120.67004,35.298246,59.0,52.2,83.325
-120.67003,35.29826,69.9,56.4,83.405
-120.670019,35.298273,68.4,52.7,83.49
-120.670009,35.298288,63.6,42.9,83.475
-120.669999,35.298303,58.7,32.3,83.31
-120.669988,35.298317,59.3,35.8,83.135
-120.669978,35.298331,65.1,34.9,83.045
-120.66997,35.298346,69.9,41.9,83.05
-120.669961,35.29836,69.8,56.2,83.12
-120.669952,35.298375,75.0,57.5,83.205
-120.669942,35.29839,68.3,53.9,83.275
-120.669933,35.298404,66.1,44.5,83.295
-120.669921,35.298417,64.3,41.6,83.285
-120.669907,35.298431,61.6,41.4,83.315
-120.669895,35.298444,69.4,35.7,83.38
-120.669882,35.298457,77.6,37.1,83.44
-120.669872,35.298471,77.0,43.0,83.495
-120.669862,35.298485,71.8,42.3,83.51
-120.669852,35.298499,76.5,41.5,83.475
-120.669841,35.298513,71.1,40.5,83.44
-120.669831,35.298527,67.4,41.3,83.445
-120.66982,35.298541,65.0,34.5,83.44
-120.669808,35.298555,61.6,29.1,83.635
-120.669796,35.298568,67.7,33.5,84.055
-120.669784,35.298581,77.3,46.2,84.37
-120.669774,35.298594,76.3,43.4,84.56
-120.669764,35.298607,85.3,53.6,84.615
-120.669821,35.298663,84.6,55.2,83.58
-120.66983,35.298651,69.9,40.8,83.61
-120.669838,35.298639,57.3,37.4,83.68
-120.669847,35.298627,56.2,33.0,83.71
-120.669855,35.298616,67.6,39.7,83.715
-120.669865,35.298604,76.6,44.0,83.695
-120.669876,35.298592,72.1,44.4,83.705
-120.669886,35.29858,65.5,46.2,83.755
-120.669895,35.298569,61.6,42.6,83.745
-120.669905,35.298556,60.0,48.4,83.665
-120.669914,35.298544,59.0,50.5,83.59
-120.669923,35.298532,59.0,51.4,83.56
-120.669931,35.298521,66.2,46.2,83.58
-120.66994,35.298509,69.8,45.2,83.615
-120.669949,35.298496,70.0,44.2,83.645
-120.669959,35.298483,67.3,43.7,83.67
-120.66997,35.298471,60.7,46.0,83.685
-120.669981,35.298459,62.5,42.3,83.71
-120.669991,35.298446,59.0,37.4,83.73
-120.670001,35.298433,58.1,35.1,83.73
-120.67001,35.29842,55.9,47.0,83.73
-120.670019,35.298407,59.3,61.6,83.74
-120.670029,35.298393,60.6,52.3,83.74
-120.670039,35.29838,61.2,55.0,83.685
-120.670049,35.298368,62.0,53.5,83.595
-120.670058,35.298354,62.2,50.7,83.535
-120.670067,35.29834,66.6,50.2,83.505
-120.670077,35.298328,67.6,45.9,83.485
-120.670088,35.298315,68.6,38.4,83.49
-120.670098,35.298302,55.0,26.6,83.475
-120.670108,35.298288,57.3,24.6,83.43
-120.670118,35.298274,54.6,27.4,83.425
-120.670128,35.298261,50.3,33.0,83.445
-120.670136,35.298247,55.0,38.9,83.43
-120.670146,35.298233,59.6,44.0,83.38
-120.670156,35.298219,59.9,57.7,83.315
-120.670168,35.298207,59.0,68.8,83.24
-120.670179,35.298194,61.8,74.5,83.155
-120.67019,35.29818,53.3,46.7,83.095
-120.6702,35.298167,45.5,23.9,83.065
-120.67021,35.298152,52.4,42.4,83.045
-120.67022,35.298138,62.6,59.8,83.065
-120.670232,35.298124,63.1,72.1,83.11
-120.670243,35.29811,70.5,64.0,83.13
-120.670253,35.298097,67.8,63.0,83.12
-120.670263,35.298083,79.5,61.3,83.095
-120.670273,35.298069,66.7,62.8,83.07
-120.670284,35.298056,59.9,58.5,83.04
-120.670295,35.298042,59.6,56.0,83.0
-120.670306,35.298028,54.0,51.8,82.96
-120.670316,35.298014,44.3,42.4,82.92
-120.670327,35.298,42.9,40.6,82.915
-120.670339,35.297986,41.3,38.5,82.88
-120.670351,35.297972,43.2,42.0,82.8
-120.670363,35.297959,42.1,38.6,82.87
-120.670374,35.297945,45.9,34.5,83.03
-120.670383,35.29793,54.1,46.2,83.09
-120.670393,35.297916,54.3,48.8,83.08
-120.670404,35.297903,53.3,51.3,83.085
-120.670416,35.29789,56.6,51.5,83.105
-120.670428,35.297876,57.0,54.4,83.065
-120.670439,35.297862,56.9,49.0,82.975
-120.67045,35.297849,56.1,47.3,82.9
-120.67046,35.297835,52.0,48.8,82.86
-120.670471,35.297821,62.3,49.2,82.795
-120.670482,35.297808,55.0,47.9,82.645
-120.670492,35.297794,60.9,54.2,82.45
-120.670502,35.29778,71.9,58.7,82.29
-120.670515,35.297767,58.8,51.5,82.2
-120.670528,35.297753,63.2,53.0,82.135
-120.670539,35.297739,74.2,72.6,82.08
-120.670549,35.297725,74.0,69.9,82.01
-120.670559,35.297711,73.4,80.8,81.935
-120.67057,35.297697,64.3,81.6,81.93
-120.670581,35.297683,79.8,69.4,81.935
-120.670593,35.297669,78.3,66.5,81.905
-120.670603,35.297655,70.9,81.4,81.87
-120.670614,35.297641,64.7,78.3,81.85
-120.670622,35.297627,70.2,84.8,81.83
-120.67063,35.297612,66.2,81.0,81.775
-120.670641,35.297599,75.3,122.2,81.72
-120.670652,35.297585,88.6,120.2,81.67
-120.670663,35.297572,84.7,117.0,81.625
-120.670674,35.297558,79.5,117.4,81.595
-120.670685,35.297544,81.9,126.1,81.52
-120.670696,35.29753,88.6,126.2,81.44
-120.670706,35.297516,86.3,126.8,81.445
-120.670715,35.297502,87.3,104.1,81.465
-120.670726,35.297488,83.3,101.6,81.425
-120.670737,35.297473,73.2,140.6,81.36
-120.670748,35.297459,65.6,94.3,81.28
-120.670759,35.297445,64.6,98.1,81.19
-120.67077,35.297432,65.0,111.2,81.135
-120.670781,35.297418,78.6,105.3,81.12
-120.670794,35.297404,69.6,115.4,81.065
-120.670806,35.29739,75.6,123.1,80.99
-120.670815,35.297376,76.2,119.7,81.02
-120.670824,35.297361,79.4,132.8,81.065
-120.670834,35.297346,94.7,151.3,81.04
-120.670845,35.297332,92.2,146.2,81.01
-120.670856,35.297317,94.5,147.2,80.97
-120.670867,35.297303,96.8,154.1,80.895
-120.670877,35.297289,101.7,136.2,80.845
-120.670887,35.297274,103.9,143.7,80.84
-120.670899,35.297259,99.6,140.9,80.835
-120.670909,35.297244,111.2,166.9,80.8
-120.670919,35.29723,128.9,168.7,80.745
-120.670928,35.297216,132.1,170.0,80.7
-120.670939,35.297203,137.3,177.2,80.67
-120.670951,35.297189,145.0,187.5,80.65
-120.670962,35.297175,148.8,182.5,80.615
-120.670973,35.29716,147.4,209.7,80.57
-120.670985,35.297146,143.8,199.9,80.51
-120.670997,35.297133,150.4,173.4,80.455
-120.671007,35.29712,162.4,172.5,80.46
-120.671015,35.297107,156.1,151.6,80.495
-120.671025,35.297094,155.3,168.8,80.54
-120.671111,35.297094,161.9,119.4,80.55
-120.671111,35.297106,165.6,148.7,80.635
-120.671106,35.297118,162.9,133.5,80.635
-120.6711,35.297129,134.1,149.1,80.6
-120.671093,35.29714,134.0,129.0,80.595
-120.671085,35.297151,123.8,121.4,80.63
-120.671075,35.297162,151.1,118.4,80.655
-120.671065,35.297174,143.6,118.3,80.67
-120.671055,35.297186,137.5,125.2,80.685
-120.671045,35.297199,134.0,131.3,80.7
-120.671036,35.297211,129.7,135.6,80.735
-120.671027,35.297223,137.8,120.9,80.8
-120.671019,35.297236,141.0,119.6,80.875
-120.671012,35.29725,147.1,129.3,80.93
-120.671005,35.297263,135.0,128.3,80.94
-120.670996,35.297276,128.2,131.5,80.945
-120.670986,35.297288,116.0,135.8,81.02
-120.670975,35.297301,122.0,137.3,81.08
-120.670964,35.297313,108.9,134.7,81.075
-120.670953,35.297326,114.5,137.1,81.115
-120.670944,35.297339,115.6,144.9,81.175
-120.670934,35.297351,91.8,148.0,81.19
-120.670925,35.297364,91.7,137.0,81.205
-120.670915,35.297377,91.6,138.0,81.205
-120.670905,35.297391,83.3,135.3,81.165
-120.670895,35.297404,90.7,124.9,81.145
-120.670885,35.297415,86.2,122.3,81.175
-120.670873,35.297427,85.8,140.4,81.22
-120.670863,35.29744,79.0,134.0,81.255
-120.670852,35.297452,78.5,128.6,81.305
-120.670841,35.297465,80.3,130.6,81.355
-120.670831,35.297478,86.8,143.7,81.335
-120.670822,35.297492,89.4,125.0,81.29
-120.670813,35.297504,87.4,124.2,81.305
-120.670803,35.297516,89.6,118.9,81.35
-120.670793,35.297528,86.7,122.6,81.37
-120.670783,35.297541,74.2,118.4,81.355
-120.670772,35.297554,75.5,117.9,81.3
-120.670762,35.297566,59.5,103.0,81.235
-120.670753,35.297579,58.7,89.0,81.24
-120.670743,35.297591,58.7,89.6,81.265
-120.670733,35.297603,65.9,87.6,81.265
-120.670721,35.297615,72.3,77.2,81.27
-120.67071,35.297627,73.0,85.4,81.28
-120.6707,35.29764,73.5,84.1,81.33
-120.670692,35.297653,68.8,80.0,81.385
-120.670684,35.297667,71.6,82.5,81.4
-120.670676,35.297681,70.1,74.7,81.41
-120.670668,35.297694,69.3,77.7,81.395
-120.670659,35.297707,69.9,76.2,81.34
-120.670649,35.297719,73.4,66.4,81.36
-120.670638,35.297731,74.5,72.9,81.47
-120.670628,35.297744,67.5,69.6,81.58
-120.670619,35.297757,63.7,60.2,81.655
-120.670609,35.29777,49.9,46.3,81.71
-120.670598,35.297783,37.0,43.8,81.855
-120.670587,35.297795,43.8,48.2,82.05
-120.670576,35.297808,52.8,43.3,82.135
-120.670566,35.29782,48.2,43.0,82.145
-120.670555,35.297832,57.5,47.5,82.17
-120.670544,35.297844,56.0,48.8,82.205
-120.670534,35.297857,50.4,45.3,82.245
-120.670525,35.297871,49.6,47.0,82.3
-120.670515,35.297884,52.7,46.8,82.355
-120.670504,35.297897,48.4,44.3,82.385
-120.670494,35.297909,47.8,41.0,82.38
-120.670485,35.297922,46.3,37.7,82.405
-120.670475,35.297934,43.5,39.2,82.475
-120.670464,35.297947,50.9,38.3,82.545
-120.670454,35.29796,54.3,38.2,82.585
-120.670445,35.297973,49.3,38.5,82.595
-120.670436,35.297986,52.1,41.3,82.6
